Reference,Value,Qty
BT1,,1
C1,100uF,1
C2,22uF,1
"C3,C14,C15,C33,C34,C35",0.1uF,6
"C4,C5,C11-C13,C16-C21,C24-C32,C38-C40,C45",1uF,24
C6,47uF,1
"C7-C10,C37,C41-C44,C46",10uF,10
"C22,C23,C48",22pF,3
C36,NC,1
C47,4.7uF,1
D1,LED,1
"D2,D3,D4",MBR0530,3
J1,FPC24,1
J2,Conn_01x06,1
J4,AudioJack4,1
J5,USB_C_Receptacle_USB2.0_16P,1
L1,68uH,1
Q1,Si1308EDL,1
"Q2,Q3",SS8050,2
"R1,R7,R18,R19",10k,4
"R2,R3",3.3k,2
"R4,R5,R6",5.1k,3
"R8,R13,R14",0,3
R9,51,1
R10,2.2k,1
"R11,R12,R15",150k,3
R16,300k,1
R17,0.47,1
SW1,SW_DPDT_x2,1
SW2,RST,1
"SW3,SW4,SW5",BTN,3
SW6,FLASH,1
TP1-TP17,TestPoint,17
U1,ESP32-S3-WROOM-1,1
"U2,U3",HE9073A33M5R,2
U4,ES7210,1
U5,ES8311,1
U6,IS31AP2005,1
